fid,ID_UNICO,nome_1KM,nome_5KM,nome_10KM,nome_50KM,nome_100KM,nome_500KM,QUADRANTE,MASC,FEM,POP,DOM_OCU,area,perimeter,xcoord,ycoord
"1",200ME69396N103902,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",5745.89697265625,460.803816966722,-36.1712866860941,-7.97179603642412
"2",200ME69398N103902,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.0550537109,800.954258555702,-36.1701841015506,-7.97200075614778
"3",200ME69396N103904,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",15533.4357910156,553.821992853355,-36.1715861089464,-7.97022034787898
"4",200ME69398N103904,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.0679931641,800.954365964703,-36.1703010980103,-7.97021856328306
"5",200ME69396N103906,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",23033.5793457031,632.015629809075,-36.1718689003608,-7.96847891023488
"6",200ME69398N103906,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.0625,800.954287800276,-36.1704180929871,-7.96843636620779
"7",200ME69396N103908,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",29945.1982421875,696.800616985766,-36.1721403171777,-7.96672539522703
"8",200ME69398N103908,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.0649414063,800.954288848673,-36.1705350865526,-7.96665416503235
"9",200ME69396N103910,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",34533.5014648438,745.983388139791,-36.1723604287537,-7.96495970447975
"10",200ME69398N103910,1KME6939N10390,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.0789794922,800.954408015549,-36.1706520783817,-7.96487195986319
"11",200ME69396N103912,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",38202.2130126953,779.09805426151,-36.1725599796393,-7.96319189585581
"12",200ME69398N103912,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.1118164063,800.954712536444,-36.1707690690149,-7.96308975021648
"13",200ME69394N103914,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",62.482177734375,120.152436104379,-36.1736890588336,-7.96076464788335
"14",200ME69396N103914,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",39743.6024169922,796.079166385416,-36.1727116633338,-7.96141665595169
"15",200ME69398N103914,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.0954589844,800.954526641481,-36.1708860579117,-7.96130753657604
"16",200ME69394N103916,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",407.261474609375,349.500108682042,-36.1737474676558,-7.95997579688158
"17",200ME69396N103916,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40079.4010009766,800.148940036117,-36.1728359701481,-7.95963923611401
"18",200ME69398N103916,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.1176757813,800.954724805538,-36.1710030451819,-7.95952531876315
"19",200ME69396N103918,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",39263.3645019531,792.695683486958,-36.1729340550855,-7.95786068349417
"20",200ME69398N103918,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.1209716797,800.954736837436,-36.1711200307923,-7.95774309674124
"21",200ME69396N103920,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",36887.4052734375,768.559935312119,-36.1729966805421,-7.95608504175768
"22",200ME69398N103920,1KME6939N10391,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.14453125,800.954947161754,-36.1712370151926,-7.95596087051028
"23",200ME69396N103922,1KME6939N10392,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",32968.9606933594,728.148885443732,-36.1730241743815,-7.95430245583089
"24",200ME69398N103922,1KME6939N10392,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.1265869141,800.954746691443,-36.1713539979662,-7.95417864010689
"25",200ME69396N103924,1KME6939N10392,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",27589.9359130859,675.401314452639,-36.1730187590705,-7.95252560416232
"26",200ME69398N103924,1KME6939N10392,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.1606445313,800.95506179315,-36.1714709790035,-7.95239640570976
"27",200ME69396N103926,1KME6939N10392,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",20660.6008300781,607.22813308941,-36.1729785350016,-7.95075469728967
"28",200ME69398N103926,1KME6939N10392,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",40089.1729736328,800.955164795181,-36.1715879588448,-7.95061416683509
"29",200ME69396N103928,1KME6939N10392,5KME6935N10390,10KME6930N10390,50KME6900N10350,100KME6900N10350,500KME6800N10350,ID_68,"0","0","0","0",13650.3645019531,543.359814662895,-36.1729335160623,-7.94895730722981
