"","IVS_2010","IVS_CPH_10","IVS_INF_10","IVS_REN_10","Ocup_2010","Densid_Pop","Densid_Ocup","FEM","POP","MASC","DOM_OCU"
"2",0.31,0.467,0.105,0.357,0,0,0,0,0,0,0
"3",0.31,0.467,0.105,0.357,0,9.98118972301484e-07,9.98118972301484e-07,0,1,1,1
"4",0.31,0.467,0.105,0.357,0,2.19590555396176e-05,3.99255555265775e-06,10,22,12,4
"5",0.31,0.467,0.105,0.357,0,9.98010905544394e-05,2.49502726386098e-05,55,100,45,25
"6",0.31,0.467,0.105,0.357,0,0.000137727812703336,3.29349117334065e-05,64,138,74,33
"7",0.31,0.467,0.105,0.357,0,0.000149699712919918,2.49499521533196e-05,3,6,3,1
"8",0.31,0.467,0.105,0.357,0,0.000199628443022547,4.99071107556367e-05,4,8,4,2
"9",0.31,0.467,0.105,0.357,0,0.00029944183814741,7.48604595368524e-05,6,12,6,3
"10",0.31,0.467,0.105,0.357,0,0.000299442630785058,4.9907105130843e-05,6,12,6,2
"11",0.31,0.467,0.105,0.357,0,0.000493025122623639,0.000116769107989809,258,494,236,117
"12",0.31,0.467,0.105,0.357,0,0.000589823750753058,0.000144711410929261,308,591,283,145
"13",0.31,0.467,0.105,0.357,0,0.000598892150044477,0.000149723037511119,12,24,12,6
"14",0.31,0.467,0.105,0.357,0,0.000648793386462329,0.000199628734296101,15,26,11,8
"15",0.31,0.467,0.105,0.357,0,0.000748602198771009,0.000174673846379902,15,30,15,7
"16",0.31,0.467,0.105,0.357,0,0.000923279993726287,0.000224581620095583,19,37,18,9
"17",0.31,0.467,0.105,0.357,0,0.00134748933063987,0.000324395579598486,28,54,26,13
"18",0.31,0.467,0.105,0.357,0,0.00137224245349568,0.000299398353489967,30,55,25,12
"19",0.31,0.467,0.105,0.357,0,0.00193143252294405,0.000550982301118922,985,1935,950,552
"20",0.31,0.467,0.105,0.357,0,0.0019713279204669,0.000449163323650686,41,79,38,18
"21",0.31,0.467,0.105,0.357,0,0.00247039951418595,0.000573931200265424,52,99,47,23
"22",0.31,0.467,0.105,0.357,0,0.00294409402232472,0.000898198176302458,57,118,61,36
"23",0.31,0.467,0.105,0.357,1,0,0,0,0,0,0
"24",0.31,0.467,0.105,0.357,1,9.98129624124021e-06,2.99438887237206e-06,6,10,4,3
"25",0.31,0.467,0.105,0.357,1,2.2956955106667e-05,6.98689938028996e-06,8,23,15,7
"26",0.31,0.467,0.105,0.357,1,3.39365692586507e-05,9.98134389960316e-06,18,34,16,10
"27",0.31,0.467,0.105,0.357,1,7.48587997364359e-05,2.49529332454786e-05,1,3,2,1
"28",0.31,0.467,0.105,0.357,1,0.000174673469143946,4.99067054696988e-05,3,7,4,2
"29",0.31,0.467,0.105,0.357,1,0.000229570635206761,5.48973258103125e-05,117,230,113,55
"30",0.31,0.467,0.105,0.357,1,0.000329383586803076,8.68374910662655e-05,162,330,168,87
"31",0.31,0.467,0.105,0.357,1,0.000399245790002612,9.98114475006529e-05,8,16,8,4
"32",0.31,0.467,0.105,0.357,1,0.000524012318017798,0.000124764837623285,11,21,10,5
"33",0.31,0.467,0.105,0.357,1,0.000723646858992544,0.000124766699826301,17,29,12,5
"34",0.31,0.467,0.105,0.357,1,0.00209609595731173,0.000499070466026603,45,84,39,20
"35",0.31,0.467,0.105,0.357,1,0.00224579704647898,0.000673739113943694,49,90,41,27
"36",0.31,0.467,0.105,0.357,1,0.00234561761492156,0.000598881093171463,50,94,44,24
"37",0.31,0.467,0.105,0.357,1,0.00237054740330099,0.00064878139458764,51,95,44,26
"38",0.31,0.467,0.105,0.357,1,0.00247039951418595,0.000573931200265424,52,99,47,23
"39",0.31,0.467,0.105,0.357,1,0.00309422803902728,0.000748603557829182,65,124,59,30
"40",0.31,0.467,0.105,0.357,1,0.00364320572373976,0.000898324699004325,78,146,68,36
"41",0.31,0.467,0.105,0.357,1,0.00421707919327343,0.000973172121524637,87,169,82,39
"42",0.31,0.467,0.105,0.357,1,0.00441670312720714,0.00124765625062349,97,177,80,50
"43",0.31,0.467,0.105,0.357,1,0.00608859497722532,0.00167186829292663,128,244,116,67
"44",0.31,0.467,0.105,0.357,1,0.00658764735704936,0.00189644393612027,138,264,126,76
"45",0.31,0.467,0.105,0.357,1,0.00721148421111472,0.0018465392097664,160,289,129,74
"46",0.31,0.467,0.105,0.357,1,0.00791017879493796,0.00217093235066121,170,317,147,87
"47",0.31,0.467,0.105,0.357,1,0.00798503660966453,0.00199625915241613,182,320,138,80
"48",0.31,0.467,0.105,0.357,1,0.00973176811098059,0.00264504466606139,210,390,180,106
"49",0.31,0.467,0.105,0.357,1,0.010854643369838,0.00329382281567497,228,435,207,132
"50",0.31,0.467,0.105,0.357,1,0.0118278498172967,0.00314411197674974,249,474,225,126
"51",0.31,0.467,0.105,0.357,1,0.011852837422215,0.00341860784598622,258,475,217,137
"52",0.31,0.467,0.105,0.357,1,0.0123519255566446,0.00389272805421527,284,495,211,156
"53",0.31,0.467,0.105,0.357,1,0.0127761047306106,0.00376795276234805,292,512,220,151
